№ вопроса,Блок,Применимость,Исходный номер,Основной раздел,Вопрос,Ответ 1,Ответ 2,Ответ 3,Правильный вариант,Правильный ответ,Все группы вопроса,Примечание
1.0,"Частные охранники 4,5,6 разрядов",4–6 разряд,1.1,Правовая подготовка,Какие меры принуждения могут применять частные охранники?,"Задержание на месте правонарушения лиц, совершивших противоправное посягательство на охраняемое имущество либо нарушающих внутриобъектовый и (или) пропускной режимы, применение физической силы, специальных средств и огнестрельного оружия, разрешенных в частной охранной деятельности.","Проверка документов, досмотр переносимых вещей, применение физической силы, специальных средств и огнестрельного оружия, разрешенных в частной охранной деятельности.","Изъятие предметов, досмотр транспорта, применение огнестрельного и холодного оружия.",1,"Задержание на месте правонарушения лиц, совершивших противоправное посягательство на охраняемое имущество либо нарушающих внутриобъектовый и (или) пропускной режимы, применение физической силы, специальных средств и огнестрельного оружия, разрешенных в частной охранной деятельности.","Все вопросы / полный банк; Частные охранники / все вопросы; Частные охранники 4,5,6 разрядов / Правовая подготовка; Правовая подготовка / все вопросы; Частные охранники / 4 разряд; Частные охранники / 5 разряд; Частные охранники / 6 разряд; Право / применение физической силы, спецсредств и оружия; Экзаменационный тест / частные охранники без огневой подготовки; Экзаменационный тест / частные охранники 5–6 разряды",
2.0,"Частные охранники 4,5,6 разрядов",4–6 разряд,1.2,Правовая подготовка,Какие виды специальных средств разрешается использовать в частной охранной деятельности?,"Резиновые палки, наручники, средства для принудительной остановки транспорта.","Защитные шлемы, защитные жилеты, наручники и резиновые палки.","Резиновые палки, слезоточивые вещества, служебных собак.",2,"Защитные шлемы, защитные жилеты, наручники и резиновые палки.","Все вопросы / полный банк; Частные охранники / все вопросы; Частные охранники 4,5,6 разрядов / Правовая подготовка; Правовая подготовка / все вопросы; Частные охранники / 4 разряд; Частные охранники / 5 разряд; Частные охранники / 6 разряд; Право / применение физической силы, спецсредств и оружия; Экзаменационный тест / частные охранники без огневой подготовки; Экзаменационный тест / частные охранники 5–6 разряды",
3.0,"Частные охранники 4,5,6 разрядов",5–6 разряд,1.3,Правовая подготовка,"К какому виду вооружения относится электрошоковое устройство, выданное охраннику в частной охранной организации для работы на посту? (5-6 разряд)","Гражданское оружие, разрешенное для использования в частной охранной деятельности.","Специальное средство, разрешенное для использования в частной охранной деятельности.","Служебное оружие, разрешенное для использования в частной охранной деятельности.",1,"Гражданское оружие, разрешенное для использования в частной охранной деятельности.","Все вопросы / полный банк; Частные охранники / все вопросы; Частные охранники 4,5,6 разрядов / Правовая подготовка; Правовая подготовка / все вопросы; Частные охранники / 5 разряд; Частные охранники / 6 разряд; Право / оружие: выдача, хранение, ношение, ограничения; Спецсредства / электрошоковые устройства; Экзаменационный тест / частные охранники без огневой подготовки; Экзаменационный тест / частные охранники 5–6 разряды",
4.0,"Частные охранники 4,5,6 разрядов",5–6 разряд,1.4,Правовая подготовка,Охраннику запрещается применять огнестрельное оружие: (5-6 разряд),При ограниченной видимости вследствие погодных условий.,При значительном скоплении людей.,"При значительном скоплении людей, когда от применения оружия могут пострадать посторонние лица.",3,"При значительном скоплении людей, когда от применения оружия могут пострадать посторонние лица.","Все вопросы / полный банк; Частные охранники / все вопросы; Частные охранники 4,5,6 разрядов / Правовая подготовка; Правовая подготовка / все вопросы; Частные охранники / 5 разряд; Частные охранники / 6 разряд; Право / применение физической силы, спецсредств и оружия; Право / оружие: выдача, хранение, ношение, ограничения; Экзаменационный тест / частные охранники без огневой подготовки; Экзаменационный тест / частные охранники 5–6 разряды",
5.0,"Частные охранники 4,5,6 разрядов",5–6 разряд,1.5,Правовая подготовка,Обязан ли охранник сдавать имеющееся у него оружие при перелете по территории Российской Федерации на воздушном судне? (5-6 разряд),Обязан во всех случаях.,"Обязан, кроме случаев, когда при нем находится охраняемое имущество.",Не обязан.,1,Обязан во всех случаях.,"Все вопросы / полный банк; Частные охранники / все вопросы; Частные охранники 4,5,6 разрядов / Правовая подготовка; Правовая подготовка / все вопросы; Частные охранники / 5 разряд; Частные охранники / 6 разряд; Право / оружие: выдача, хранение, ношение, ограничения; Экзаменационный тест / частные охранники без огневой подготовки; Экзаменационный тест / частные охранники 5–6 разряды",
6.0,"Частные охранники 4,5,6 разрядов",5–6 разряд,1.6,Правовая подготовка,В целях обеспечения оказания услуг по защите жизни и здоровья граждан выдача оружия на посты и маршруты: (5-6 разряд),Допускается.,Не допускается.,"Допускается при условии согласования вопроса выдачи оружия с территориальным органом федерального органа исполнительной власти, уполномоченного в сфере частной охранной деятельности.",2,Не допускается.,"Все вопросы / полный банк; Частные охранники / все вопросы; Частные охранники 4,5,6 разрядов / Правовая подготовка; Правовая подготовка / все вопросы; Частные охранники / 5 разряд; Частные охранники / 6 разряд; Право / оружие: выдача, хранение, ношение, ограничения; Экзаменационный тест / частные охранники без огневой подготовки; Экзаменационный тест / частные охранники 5–6 разряды",
7.0,"Частные охранники 4,5,6 разрядов",4–6 разряд,1.7,Правовая подготовка,"При необходимой обороне субъектом посягательства, отражаемого обороняющимся, является:",Человек (физическое лицо).,Стихия (силы природы).,"Источник повышенной опасности (оружие, автомобиль и пр.).",1,Человек (физическое лицо).,"Все вопросы / полный банк; Частные охранники / все вопросы; Частные охранники 4,5,6 разрядов / Правовая подготовка; Правовая подготовка / все вопросы; Частные охранники / 4 разряд; Частные охранники / 5 разряд; Частные охранники / 6 разряд; Право / необходимая оборона, крайняя необходимость, задержание; Экзаменационный тест / частные охранники без огневой подготовки; Экзаменационный тест / частные охранники 5–6 разряды",
8.0,"Частные охранники 4,5,6 разрядов",4–6 разряд,1.8,Правовая подготовка,В соответствии с действующим законодательством при необходимой обороне допускается причинение вреда:,Посягающему лицу.,Третьим лицам.,Любым лицам.,1,Посягающему лицу.,"Все вопросы / полный банк; Частные охранники / все вопросы; Частные охранники 4,5,6 разрядов / Правовая подготовка; Правовая подготовка / все вопросы; Частные охранники / 4 разряд; Частные охранники / 5 разряд; Частные охранники / 6 разряд; Право / необходимая оборона, крайняя необходимость, задержание; Экзаменационный тест / частные охранники без огневой подготовки; Экзаменационный тест / частные охранники 5–6 разряды",
9.0,"Частные охранники 4,5,6 разрядов",4–6 разряд,1.9,Правовая подготовка,Могут ли действия охранника по защите жизни и здоровья другого лица расцениваться как действия в состоянии необходимой обороны:,Не могут ни при каких условиях.,"Могут, если соблюдены условия необходимой обороны, предусмотренные законом.","Могут, только если при указанном лице находилось охраняемое имущество.",2,"Могут, если соблюдены условия необходимой обороны, предусмотренные законом.","Все вопросы / полный банк; Частные охранники / все вопросы; Частные охранники 4,5,6 разрядов / Правовая подготовка; Правовая подготовка / все вопросы; Частные охранники / 4 разряд; Частные охранники / 5 разряд; Частные охранники / 6 разряд; Право / необходимая оборона, крайняя необходимость, задержание; Экзаменационный тест / частные охранники без огневой подготовки; Экзаменационный тест / частные охранники 5–6 разряды",
10.0,"Частные охранники 4,5,6 разрядов",4–6 разряд,1.10,Правовая подготовка,Допускается ли причинение вреда третьим лицам в состоянии необходимой обороны?,"Да, при групповом нападении.","Да, при вооруженном нападении.",Нет.,3,Нет.,"Все вопросы / полный банк; Частные охранники / все вопросы; Частные охранники 4,5,6 разрядов / Правовая подготовка; Правовая подготовка / все вопросы; Частные охранники / 4 разряд; Частные охранники / 5 разряд; Частные охранники / 6 разряд; Право / необходимая оборона, крайняя необходимость, задержание; Экзаменационный тест / частные охранники без огневой подготовки; Экзаменационный тест / частные охранники 5–6 разряды",
