Адрес,Title 1,Description 1,Индексация,H1-1,Статус индексации,H1-1 длина,H2-1,H2-1 длина,H2-2,H2-2 длина,Meta Robots 1,X-Robots-Tag 1,Meta Refresh 1,Canonical 1,"rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1",amphtml,Передано (байт),Всего передано (байт),CO2 (мг),Рейтинг углерода,Количество слов,Количество предложений,Среднее количество слов в предложении,Оценка удобочитаемости по шкале Flesch,Читабельность,Соотношение текста,Глубина парсинга,Глубина папки,Link Score,Внутренние ссылки,Уникальные входящие ссылки,Уникальные входящие ссылки JS,% от общего,Исходящие ссылки,Уникальные исходящие ссылки,Уникальные исходящие ссылки JS,Внешние ссылки,Уникальные внешние ссылки,Уникальные внешние ссылки JS,Ближайшее сходство,Кол-во близких дубликатов,Орфографические ошибки,Грамматические ошибки,Hash,Время отклика,Last Modified,Redirect URL,Тип редиректа,Cookies,Language,HTTP версия,Альтернативная мобильная ссылка,Кодированный адрес URL,Временная метка парсинга
https://cpp-globez.ru/,"Центр профессиональной подготовки — обучение охранников, лицензии, стрельба","Центр профессиональной подготовки охранников в Мытищах. Обучение стрельбе, повышение квалификации охранников, получение разрешения на оружие и продление лицензии. Курсы ЧОУ ДПО «ЦПП» с 1998 года — профессиональная подготовка и аттестация частных охранников.",Неиндексируемое,Центр профессиональной подготовки и обучения,Неканонический,44,"Обучение стрельбе, получение лицензии, разрешение на оружие",59,Преподавательский состав,24,"INDEX,FOLLOW",,,https://cpp-globez.ru/получение-лицензии-на-оружие,,,,,,15193,15193,"5,385994465",,974,238,"4,092436975",100,Очень легко,"12,111502",0,0,,703,144,0,100,101,47,0,6,6,0,,,,,a4fb74cc928a9463d13cb05d30658b89,"0,339","Wed, 08 Apr 2026 18:57:57 GMT",,,,ru-ru,1.1,,https://cpp-globez.ru/,2026-04-08 19:57:57
https://cpp-globez.ru/приказы/распоряжение-во-исполнение-приказа-мвд-россии-от-19-06-2006-№-447-по-организации-и-приёму-квалификационного-экзамена-у-граждан-необходимого-для-приобретения-правового-статуса-частного-охранника,"распоряжение-во-исполнение-приказа-мвд-россии-от-19-06-2006-№-447-«по-организации-и-приёму-квалификационного-экзамена-у-граждан,-необходимого-для-приобретения-правового-статуса-частного-охранника» | prikaz",от 20.01.2021 года,Индексируемое,"Распоряжение: Во исполнение приказа МВД России от 19.06.2006 № 447 «По организации и приёму квалификационного экзамена у граждан, необходимого для приобретения правового статуса частного охранника»",,197,,0,,0,"max-snippet:-1, max-image-preview:large, max-video-preview:-1",,,https://cpp-globez.ru/приказы/распоряжение-во-исполнение-приказа-мвд-россии-от-19-06-2006-№-447-по-организации-и-приёму-квалификационного-экзамена-у-граждан-необходимого-для-приобретения-правового-статуса-частного-охранника,,,,,,7865,7865,"2,788181825",,251,74,"3,391891892",100,Очень легко,"8,7589035",1,1,,8,4,0,"2,78",82,36,0,1,1,0,,,,,da151b0475a7d338dc4c3e96b266aa39,"0,595","Wed, 08 Apr 2026 18:58:01 GMT",,,,ru-ru,1.1,,https://cpp-globez.ru/%D0%BF%D1%80%D0%B8%D0%BA%D0%B0%D0%B7%D1%8B/%D1%80%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%8F%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5-%D0%B2%D0%BE-%D0%B8%D1%81%D0%BF%D0%BE%D0%BB%D0%BD%D0%B5%D0%BD%D0%B8%D0%B5-%D0%BF%D1%80%D0%B8%D0%BA%D0%B0%D0%B7%D0%B0-%D0%BC%D0%B2%D0%B4-%D1%80%D0%BE%D1%81%D1%81%D0%B8%D0%B8-%D0%BE%D1%82-19-06-2006-%E2%84%96-447-%D0%BF%D0%BE-%D0%BE%D1%80%D0%B3%D0%B0%D0%BD%D0%B8%D0%B7%D0%B0%D1%86%D0%B8%D0%B8-%D0%B8-%D0%BF%D1%80%D0%B8%D1%91%D0%BC%D1%83-%D0%BA%D0%B2%D0%B0%D0%BB%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%86%D0%B8%D0%BE%D0%BD%D0%BD%D0%BE%D0%B3%D0%BE-%D1%8D%D0%BA%D0%B7%D0%B0%D0%BC%D0%B5%D0%BD%D0%B0-%D1%83-%D0%B3%D1%80%D0%B0%D0%B6%D0%B4%D0%B0%D0%BD-%D0%BD%D0%B5%D0%BE%D0%B1%D1%85%D0%BE%D0%B4%D0%B8%D0%BC%D0%BE%D0%B3%D0%BE-%D0%B4%D0%BB%D1%8F-%D0%BF%D1%80%D0%B8%D0%BE%D0%B1%D1%80%D0%B5%D1%82%D0%B5%D0%BD%D0%B8%D1%8F-%D0%BF%D1%80%D0%B0%D0%B2%D0%BE%D0%B2%D0%BE%D0%B3%D0%BE-%D1%81%D1%82%D0%B0%D1%82%D1%83%D1%81%D0%B0-%D1%87%D0%B0%D1%81%D1%82%D0%BD%D0%BE%D0%B3%D0%BE-%D0%BE%D1%85%D1%80%D0%B0%D0%BD%D0%BD%D0%B8%D0%BA%D0%B0,2026-04-08 19:58:01
https://cpp-globez.ru/info/stipendii-mery-podderzhki-obuchayushchikhsya,stipendii-mery-podderzhki-obuchayushchikhsya | info,"Информация о наличии и условиях предоставления стипендий Стипендия обучающимся не выплачивается ввиду отсутствия на текущий период реализации программ, предусматривающих выплату стипендии. Информация о наличии общежития, интерната, количестве жилых п...",Индексируемое,Стипендии меры поддержки обучающихся,,36,,0,,0,"max-snippet:-1, max-image-preview:large, max-video-preview:-1",,,https://cpp-globez.ru/info/stipendii-mery-podderzhki-obuchayushchikhsya,,,,,,7765,7765,"2,752731325",,308,78,"3,948717949",100,Очень легко,"11,72338",1,1,,294,144,0,100,80,34,0,1,1,0,,,,,93df692efedc8c1ac0e9680adeb00714,"0,362","Wed, 08 Apr 2026 18:58:01 GMT",,,,ru-ru,1.1,,https://cpp-globez.ru/info/stipendii-mery-podderzhki-obuchayushchikhsya,2026-04-08 19:58:01
https://cpp-globez.ru/voprhosy-i-otvety-dlya-podgotovki-k-sdachi-kvalifikacionnogo-ekzamena-chastnymi-ohrannikami,Вопросы и ответы к квалификационному экзамену частных охранников — ЧОУ ДПО «Центр профессиональной подготовки» (Мытищи),"Подготовка к квалификационному экзамену частных охранников: основные вопросы и ответы, нормативные акты, рекомендации и примеры. Помощь в обучении и повышении квалификации охранников в ЧОУ ДПО «ЦПП», г. Мытищи.",Индексируемое,Вопросы и ответы для подготовки к сдачи квалификационного экзамена частными охранниками,,87,1. Общие сведения о квалификационном экзамене,45,2. Основные нормативные документы,33,"max-snippet:-1, max-image-preview:large, max-video-preview:-1",,,https://cpp-globez.ru/voprhosy-i-otvety-dlya-podgotovki-k-sdachi-kvalifikacionnogo-ekzamena-chastnymi-ohrannikami,,,,,,10368,10368,"3,67550784",,774,171,"4,526315789",100,Очень легко,"20,064804",1,0,,293,144,0,100,80,35,0,1,1,0,,,,,25020939181771dcd124697e18c77154,"0,628","Wed, 08 Apr 2026 18:58:01 GMT",,,,ru-ru,1.1,,https://cpp-globez.ru/voprhosy-i-otvety-dlya-podgotovki-k-sdachi-kvalifikacionnogo-ekzamena-chastnymi-ohrannikami,2026-04-08 19:58:01
https://cpp-globez.ru/приказы/приказ-541-20-542-20-543-20,приказ-541-20-542-20-543-20 | prikaz,"ПРИКАЗ 541-20/542-20/543-20 г. Мытищи, М.О. «О выпуске слушателей, прошедших обучение по программе «Подготовки частных охранников».",Индексируемое,,,0,,0,,0,"max-snippet:-1, max-image-preview:large, max-video-preview:-1",,,https://cpp-globez.ru/приказы/приказ-541-20-542-20-543-20,,,,,,7168,7168,"2,54109184",,204,64,"3,1875",100,Очень легко,"8,652856",1,1,,8,4,0,"2,78",79,36,0,1,1,0,,,,,9798c790794ca6987252141d026c3aae,"0,27","Wed, 08 Apr 2026 18:58:01 GMT",,,,ru-ru,1.1,,https://cpp-globez.ru/%D0%BF%D1%80%D0%B8%D0%BA%D0%B0%D0%B7%D1%8B/%D0%BF%D1%80%D0%B8%D0%BA%D0%B0%D0%B7-541-20-542-20-543-20,2026-04-08 19:58:01
https://cpp-globez.ru/dokumenty-organizatsii,dokumenty-organizatsii,Документы организации Свидетельство о постановке на учёт юридического лица в налоговом органе по месту нахождения на территории Российской Федерации Свидетельство о государственной регистрации юридического лица Свидетельство о государственной регистр...,Индексируемое,,,0,,0,,0,"max-snippet:-1, max-image-preview:large, max-video-preview:-1",,,https://cpp-globez.ru/dokumenty-organizatsii,,,,,,7471,7471,"2,648506855",,242,69,"3,507246377",100,Очень легко,"9,316641",1,0,,292,144,0,100,87,43,0,1,1,0,,,,,43b8329e5d48ff4d7fa202d65539e96b,"0,341","Wed, 08 Apr 2026 18:58:02 GMT",,,,ru-ru,1.1,,https://cpp-globez.ru/dokumenty-organizatsii,2026-04-08 19:58:02
https://cpp-globez.ru/litsenzii,ЦПП охранников в Мытищах имеет все необходимые разрешительные документы и лицензии. - ЦПП,Обучение охранников происходит в центре профессиональной подготовки охранников в Мытищах.,Индексируемое,,,0,,0,,0,"max-snippet:-1, max-image-preview:large, max-video-preview:-1",,,https://cpp-globez.ru/litsenzii,,,,,,7582,7582,"2,68785691",,209,62,"3,370967742",100,Очень легко,"7,7327156",1,0,,436,144,0,100,83,39,0,1,1,0,,,,,e0fb2e4a4922d16c8f6026a0c4bb5f6e,"0,409","Wed, 08 Apr 2026 18:58:02 GMT",,,,ru-ru,1.1,,https://cpp-globez.ru/litsenzii,2026-04-08 19:58:02
https://cpp-globez.ru/приказы/распоряжение-от-30-09-2020,распоряжение-от-30-09-2020 | prikaz,РАСПОРЯЖЕНИЕ: ОТ 30.09.2020,Индексируемое,,,0,,0,,0,"max-snippet:-1, max-image-preview:large, max-video-preview:-1",,,https://cpp-globez.ru/приказы/распоряжение-от-30-09-2020,,,,,,6967,6967,"2,469836335",,191,60,"3,183333333",100,Очень легко,"8,732497",1,1,,8,4,0,"2,78",79,36,0,1,1,0,,,,,910059effe0284b9bfa2ad93147a6737,"0,342","Wed, 08 Apr 2026 18:58:03 GMT",,,,ru-ru,1.1,,https://cpp-globez.ru/%D0%BF%D1%80%D0%B8%D0%BA%D0%B0%D0%B7%D1%8B/%D1%80%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%8F%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5-%D0%BE%D1%82-30-09-2020,2026-04-08 19:58:03
https://cpp-globez.ru/приказы/распоряжение-во-исполнение-приказа-мвд-россии-от-19-06-2006-№-447,распоряжение-во-исполнение-приказа-мвд-россии-от-19-06-2006-№-447 | prikaz,Распоряжение: от 14.01.2021,Индексируемое,Распоряжение: Во исполнение приказа МВД России от 19.06.2006 № 447,,66,,0,,0,"max-snippet:-1, max-image-preview:large, max-video-preview:-1",,,https://cpp-globez.ru/приказы/распоряжение-во-исполнение-приказа-мвд-россии-от-19-06-2006-№-447,,,,,,7446,7446,"2,63964423",,221,71,"3,112676056",100,Очень легко,"8,750604",1,1,,7,4,0,"2,78",82,36,0,1,1,0,,,,,20ab324c77906d927928820625094766,"0,601","Wed, 08 Apr 2026 18:58:03 GMT",,,,ru-ru,1.1,,https://cpp-globez.ru/%D0%BF%D1%80%D0%B8%D0%BA%D0%B0%D0%B7%D1%8B/%D1%80%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%8F%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5-%D0%B2%D0%BE-%D0%B8%D1%81%D0%BF%D0%BE%D0%BB%D0%BD%D0%B5%D0%BD%D0%B8%D0%B5-%D0%BF%D1%80%D0%B8%D0%BA%D0%B0%D0%B7%D0%B0-%D0%BC%D0%B2%D0%B4-%D1%80%D0%BE%D1%81%D1%81%D0%B8%D0%B8-%D0%BE%D1%82-19-06-2006-%E2%84%96-447,2026-04-08 19:58:03
https://cpp-globez.ru/info/metodicheskie-materialy,metodicheskie-materialy | info,Методические материалы Огневая подготовка № 1. план-конспект по огневой подготовке. № 2. план-конспект по огневой подготовке Первая помощь план-конспект по мед.подготовке Право план-конспект по праву Психология план-конспект по психологии Спецсредств...,Индексируемое,,,0,,0,,0,"max-snippet:-1, max-image-preview:large, max-video-preview:-1",,,https://cpp-globez.ru/info/metodicheskie-materialy,,,,,,7551,7551,"2,676867255",,252,87,"2,896551724",100,Очень легко,"7,821327",1,1,,294,144,0,100,89,45,0,1,1,0,,,,,a0ddc370083357cb99eb26a08a88346a,"0,384","Wed, 08 Apr 2026 18:58:03 GMT",,,,ru-ru,1.1,,https://cpp-globez.ru/info/metodicheskie-materialy,2026-04-08 19:58:03
